id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8.2272e+17,Rental unit in Chicago · 1 bedroom · 2 beds · 1 bath,63313003,K,0.0,Loop,41.88606917,-87.62588228,Entire home/apt,166.0,32,1,19-08-2023,0.25,16,365,1,0
8.23044e+17,Rental unit in Chicago · 3 bedrooms · 3 beds · 2 baths,107434423,Blueground,0.0,Edgewater,41.99726,-87.671561,Entire home/apt,130.0,32,0,0,0.0,643,363,0,0
8.22722e+17,Rental unit in Chicago · ★4.85 · 1 bedroom · 2 beds · 1 bath,402497267,Rasheed,0.0,Lake View,41.94183276,-87.64124664,Entire home/apt,96.0,2,41,11-12-2023,4.07,4,350,41,R23000106805
8.22724e+17,Rental unit in Chicago · ★4.47 · 3 bedrooms · 7 beds · 2 baths,177526473,Sarah And Drew,0.0,Grand Boulevard,41.82193463,-87.62290289,Entire home/apt,140.0,2,19,16-10-2023,2.03,1,14,19,R23000098012
8.23105e+17,Home in Chicago · 3 bedrooms · 3 beds · 2.5 baths,121719854,Evolve,0.0,Kenwood,41.81304,-87.60078,Entire home/apt,317.0,2,0,0,0.0,51,189,0,R23000109183
8.23105e+17,Townhouse in Chicago · 4 bedrooms · 4 beds · 3 baths,121719854,Evolve,0.0,Washington Park,41.78677,-87.62024,Entire home/apt,209.0,32,0,0,0.0,51,364,0,0
8.22738e+17,Rental unit in Chicago · 2 bedrooms · 3 beds · 2 baths,63313003,K,0.0,Loop,41.8869919,-87.6250007,Entire home/apt,205.0,32,0,0,0.0,16,181,0,0
8.22741e+17,Rental unit in Chicago · ★4.80 · 1 bedroom · 4 beds · 1 bath,43298553,Aijana,0.0,North Center,41.9451991,-87.67913571,Entire home/apt,91.0,5,10,24-10-2023,1.61,1,49,10,R21000073634
8.2311e+17,Rental unit in Chicago · 1 bedroom · 1 bed · 1 shared bath,485128727,Dilcia,0.0,Dunning,41.95369087,-87.7944461,Private room,0.0,32,0,0,0.0,1,0,0,0
8.34985e+17,Rental unit in Chicago · ★4.74 · 2 bedrooms · 3 beds · 2 baths,217496099,Majed,0.0,Near North Side,41.89430896,-87.63463774,Entire home/apt,279.0,2,46,10-12-2023,5.33,1,111,46,R21000075481
8.23239e+17,Rental unit in Chicago · ★4.58 · 2 bedrooms · 2 beds · 1 bath,222031,Peter,0.0,Lake View,41.9501804,-87.6541232,Entire home/apt,211.0,3,12,05-11-2023,1.38,1,355,12,R23000097422
